Curso,Entrantes,Graduandos
Inspeção escolar,2,46
Gestão da produção,2,164
Gestão estratégica de empresas,49,184
Materiais de construção (produção e utilização),2,147
Administração de agroindústria,3,100
Política social,52,27
Formação de professor de pré-escola,2,15
Gestão de recursos de informática,4,22
Gestão de serviços,96,148
Saúde pública,20,18
